freq,Vout_fund,Vin_fund,cg_linear,cg_dB
500000000.0,(0.0001714798585551127-0.0012883045761507813j),(0.0005424502070023783-0.0008303786066302006j),1.3103365974642651,2.3476574191332293
520000000.0,(0.0003107188310211656-0.0014019246277107225j),(0.0005091297495136347-0.0008097359445963425j),1.5012552603440166,3.5290908433150268
540000000.0,(0.0003202339738116565-0.0014137076748125322j),(0.0004782049006399512-0.0007887868157909951j),1.571430307655308,3.9259024996664937
560000000.0,(0.0002818826201873518-0.001445994933320489j),(0.0004495033058359141-0.0007676679418167023j),1.6560626265533418,4.381535125453754
580000000.0,(0.000225856032216215-0.0014880310561170098j),(0.00042286234079308595-0.0007464916096773817j),1.7542865572995927,4.882010709780892
600000000.0,(0.00015565084370268835-0.0015334377242061717j),(0.0003981296023554425-0.0007253494755597852j),1.8627782966370352,5.403223385882936
620000000.0,(7.003071794825939e-05-0.001580307372124574j),(0.00037516301708471984-0.0007043158358286755j),1.982272216102433,5.943265877186629
640000000.0,(-3.349974789248032e-05-0.0016287443265727806j),(0.0003538306823939365-0.0006834504235907076j),2.116769937916913,6.513473181903407
660000000.0,(-0.00015809802899166548-0.001679974509665909j),(0.00033401052599922425-0.0006628007882282628j),2.27349281952223,7.133871737817944
680000000.0,(-0.00030756998747432187-0.0017360967120265622j),(0.00031558984781894847-0.0006424043123852971j),2.4633764522007144,7.830615712385077
700000000.0,(-0.0004865420066242285-0.0018001268520940507j),(0.000298464791656699-0.0006222899164207963j),2.701851299855761,8.63322886685729
720000000.0,(-0.0007007562747103616-0.0018762498130205625j),(0.0002825397810968366-0.0006024794951982397j),3.009800193469179,9.570753315504717
740000000.0,(-0.0009575068869306628-0.0019703103441752823j),(0.00026772694421494633-0.0005829891267977221j),3.41475327162998,10.667186595837851
760000000.0,(-0.0012662722549437629-0.002090668140994895j),(0.0002539455442924175-0.0005638300876494279j),3.9526660137642278,11.937802391048173
780000000.0,(-0.0016396334415371186-0.0022496837316254526j),(0.00024112142818357379-0.0005450097038737149j),4.671053748149317,13.388297291764491
800000000.0,(-0.0020945999741320527-0.0024663805631736386j),(0.0002291864998823815-0.0005265320643619855j),5.634827879655961,15.017613094218225
820000000.0,(-0.002654452585430196-0.0027714161709020994j),(0.0002180782238338984-0.0005083986173677077j),6.937054528717197,16.823502165694578
840000000.0,(-0.0033509678959445367-0.0032168843451838j),(0.00020773916036685057-0.0004906086690906424j),8.718716470668229,18.809051096047547
860000000.0,(-0.004225569454728712-0.0038967761535179004j),(0.00019811653408188958-0.0004731597998957371j),11.205636333613889,20.988730476377967
880000000.0,(-0.0053218676939096425-0.0049922033718258j),(0.00018916183495787023-0.00045604821137430865j),14.779294150168727,23.393073858433382
900000000.0,(-0.006633943344462956-0.006874227417623192j),(0.00018083045389793978-0.0004392690135695038j),20.110641054974188,26.068518291298876
920000000.0,(-0.007843494602047335-0.010309224895735323j),(0.00017308133492490907-0.0004228164729201689j),28.35327737043851,29.05206532922111
940000000.0,(-0.007191656694450286-0.01642928682851862j),(0.00016587668375302883-0.00040668420004814345j),40.833052376314775,32.22023691545324
960000000.0,(0.0002447900974749303-0.0230272613733435j),(0.00015918167471182492-0.00039086532352211286j),54.56537973725436,34.73834363876926
980000000.0,(0.011452793875576005-0.019817821234984115j),(0.0001529641967132706-0.00037535262458029625j),56.47119106767957,35.036538955965035
1000000000.0,(0.014440835019438996-0.011614727689273368j),(0.00014719461891599518-0.00036013864996184436j),47.633322963053416,33.55821759041601
1020000000.0,(0.012983890393786836-0.006580776660636457j),(0.00014184557725184407-0.0003452158043427705j),39.00199496000238,31.82173643692075
1040000000.0,(0.011040178964520463-0.00405483234657676j),(0.0001368917801204134-0.00033057642576941746j),32.87113371666574,30.33629366082389
1060000000.0,(0.009417364304416868-0.0027345831437154745j),(0.00013230983200450327-0.00031621284663400256j),28.608523647695,29.129908929469075
1080000000.0,(0.00814037426059215-0.0019912915451428853j),(0.00012807807333657548-0.0003021174428813472j),25.53870286931211,28.143976706624695
1100000000.0,(0.0071254900385402725-0.0015445791659545807j),(0.00012417643533108673-0.0002882826732450976j),23.227835285282072,27.320174753505462
1120000000.0,(0.00629821638861921-0.0012627078561043845j),(0.00012058630823555415-0.0002747011101609967j),21.411615486521242,26.612988712926303
1140000000.0,(0.005604993220025601-0.0010791028875681966j),(0.00011729042222521188-0.00026136546318009807j),19.92456514666573,25.9877770340211
1160000000.0,(0.005008797301372349-0.0009578451702000337j),(0.0001142727404533537-0.0002482685957891565j),18.658871495316685,25.41770747397875
1180000000.0,(0.004483989227666538-0.000878348046165292j),(0.00011151836417209817-0.00023540353699532754j),17.541316397683755,24.88124364239927
1200000000.0,(0.0040125985527346905-0.0008282722923830185j),(0.00010901344774982195-0.00022276349175668264j),16.52046467502013,24.360445173196922
1220000000.0,(0.0035818971958621383-0.0008001419971271352j),(0.00010674511242633945-0.0002103418598125246j),15.559679872830875,23.840013150125774
1240000000.0,(0.003182759286110407-0.0007896968047279828j),(0.00010470134281714002-0.0001981322678814194j),14.633340133956501,23.306869347085755
1260000000.0,(0.002808570990481376-0.0007947783251925122j),(0.00010287088581395635-0.00018612859116748744j),13.725174322550782,22.750357382065317
1280000000.0,(0.0024544585906228007-0.0008142736736046319j),(0.00010124318999805438-0.00017432493873491658j),12.827896810414837,22.163109154769973
1300000000.0,(0.002116586636364101-0.0008472927435655999j),(9.980836920839155e-05-0.00016271561950898482j),11.943561690220175,21.542677141808284
1320000000.0,(0.0017916947216708664-0.000892802536806524j),(9.855716953852547e-05-0.00015129511450981048j),11.086398321463676,20.895809564699512
1340000000.0,(0.0014769864895131683-0.0009496484860220464j),(9.74809381239185e-05-0.00014005806662249114j),10.290173379803864,20.248453845603834
1360000000.0,(0.0011701484057859127-0.0010167103445739628j),(9.657158937719847e-05-0.00012899928434508158j),9.619714203121015,19.663243391169477
1380000000.0,(0.0008693161762606712-0.0010930079679328966j),(9.582156732865503e-05-0.00011811374926032722j),9.182200598027046,19.258935526092102
1400000000.0,(0.0005729691614130887-0.0011777184071791451j),(9.522380613369225e-05-0.0001073966211817532j),9.124756851464484,19.20442601166792
1420000000.0,(0.0002797674832620647-0.0012701294058364997j),(9.477169043590152e-05-9.684323983500444e-05j),9.598339106804287,19.64392178755277
1440000000.0,(-1.1654703391430937e-05-0.0013695584085569269j),(9.445901639347734e-05-8.644912376080404e-05j),10.696160249562357,20.584558017799797
1460000000.0,(-0.00030334247676433196-0.0014749592695957102j),(9.42796537682059e-05-7.621001607742744e-05j),12.421297960508905,21.883339594160706
1480000000.0,(-0.0005975305337275433-0.0015854632855896423j),(9.422822497894829e-05-6.612174624249137e-05j),14.718773680478678,23.3574325505906
1500000000.0,(-0.0008983229611282547-0.0017002844938878488j),(9.429954683356323e-05-5.618033192821575e-05j),17.51909612163253,24.87023390934249
1520000000.0,(-0.0012130707660735658-0.0018200236732769171j),(9.448868031367972e-05-4.638195080839135e-05j),20.779675464416805,26.352775209838395
1540000000.0,(-0.0015537389069444753-0.0019514936613237465j),(9.479096528325015e-05-3.6722922914205256e-05j),24.538496659798824,27.796959046912644
1560000000.0,(-0.0019307439238638198-0.0021193318119820436j),(9.52020084855161e-05-2.7199702316824046e-05j),28.955662261279073,29.234670047539424
1580000000.0,(-0.002319590688434891-0.002366528744005053j),(9.571767362967364e-05-1.7808869644393278e-05j),34.035976632072845,30.638764336264842
1600000000.0,(-0.0026456653298577207-0.002685118192654581j),(9.63340703974866e-05-8.547126664361489e-06j),38.97672632045301,31.81610719298066
1620000000.0,(-0.0028937582406314325-0.0029942646364720786j),(9.704753883658705e-05+5.88706153771174e-07j),42.90671206593774,32.65050471790593
1640000000.0,(-0.003118853182006969-0.0032628052879914737j),(9.78546278254994e-05+9.601689466616593e-06j),45.90573827985318,33.23733952665425
1660000000.0,(-0.0033525013864922223-0.0035097415264996714j),(9.875207069770314e-05+1.849476436666405e-05j),48.309531242970436,33.68065646921747
1680000000.0,(-0.003598983006725046-0.0037536271209712532j),(9.973676356950513e-05+2.7270753607751118e-05j),50.29340701962571,34.03022113942359
1700000000.0,(-0.003855049594013871-0.0040038106622338875j),(0.00010080574994235519+3.5932365668912834e-05j),51.93545961344144,34.3092795870288
1720000000.0,(-0.004117152045215313-0.004264415260897328j),(0.00010195621103174398+4.448220072565066e-05j),53.287685102698354,34.53253708488547
1740000000.0,(-0.004382696558854874-0.004537295395299905j),(0.00010318545932400206+5.292275710165782e-05j),54.39824756730365,34.71169818362951
1760000000.0,(-0.004649919033575904-0.004823362989814319j),(0.00010449093347143658+6.125643733351825e-05j),55.31370323051821,34.85665470572061
1780000000.0,(-0.004917610733900686-0.005123146199770286j),(0.00010587019344596521+6.948555348900683e-05j),56.0769498129302,34.975687661426285
1800000000.0,(-0.005184904472745086-0.005437012950878724j),(0.00010732091538961861+7.76123316806098e-05j),56.72538274484545,35.07554869789613
1820000000.0,(-0.005451134066140226-0.005765271800419941j),(0.00010884088602067157+8.563891589884901e-05j),57.29023128752713,35.16161151104008
1840000000.0,(-0.005715749933169963-0.006108211088947102j),(0.00011042799675871116+9.356737136474186e-05j),57.79675010837145,35.2380683775172
1860000000.0,(-0.0059782668172192474-0.0064661178205108185j),(0.00011208023781994086+0.00010139968757609149j),58.26489811923164,35.30813982785062
1880000000.0,(-0.006238231953086084-0.006839285613146872j),(0.00011379569248257442+0.00010913778116076954j),58.710188161643124,35.37426944520695
1900000000.0,(-0.006495205156023782-0.0072280180150130595j),(0.00011557253163808184+0.00011678349859634719j),59.14453136353554,35.43829189950366
