freq,Vout_fund,Vin_fund,cg_linear,cg_dB
500000000.0,(0.0016923799902614357+0.0015595984849899427j),(0.000404148272051389+0.00036490351304922477j),4.226579737579958,12.519781333567208
520000000.0,(0.0018294649502858993+0.0017038194775427335j),(0.0004233024361708872+0.00037741217703482916j),4.40821925492155,12.885263744254228
540000000.0,(0.0019657846507000203+0.0018537453617974882j),(0.00044232438389982606+0.00038876680133097025j),4.588260885025927,13.232962071707565
560000000.0,(0.002101599713818547+0.002009628025524643j),(0.0004611607192777805+0.000399031768689207j),4.768202431695559,13.567093697655865
580000000.0,(0.0022364059534237613+0.002171446032204185j),(0.00047976651344670764+0.00040827044381027983j),4.9481189914846135,13.888802698380918
600000000.0,(0.0023697558199388923+0.002339023128573856j),(0.0004981047440918213+0.0004165444572616737j),5.127942873514223,14.198863567907356
620000000.0,(0.0025012615346556555+0.0025121661871803504j),(0.0005161454469137223+0.00042391312717384556j),5.3076289852719825,14.498011142624874
640000000.0,(0.0026305848486860538+0.0026906861058097506j),(0.0005338647744542018+0.000430432966969483j),5.487163610904783,14.786958195187442
660000000.0,(0.0027573980688327345+0.002874398785699339j),(0.0005512440419319869+0.0004361575056840484j),5.666524604091017,15.066335576350806
680000000.0,(0.002881405789397094+0.0030631276769300733j),(0.0005682688417376918+0.00044113728454832346j),5.8457088297417625,15.33674359372403
700000000.0,(0.00300233652584565+0.003256702294137012j),(0.0005849282960729305+0.00044541997674026534j),6.024722442579415,15.59874087744338
720000000.0,(0.003119941129512242+0.0034549572358829137j),(0.0006012144370230411+0.00044905056151611094j),6.20357906223718,15.852846430317788
740000000.0,(0.003233991935196154+0.0036577315634544055j),(0.0006171217356800912+0.00045207153412692424j),6.382298588243201,16.09954236566436
760000000.0,(0.003344281956751086+0.0038648685096972055j),(0.0006326467551298859+0.000454523101676147j),6.560906111205206,16.339276458004562
780000000.0,(0.003450623747141643+0.004076215461346404j),(0.0006477878759825905+0.0004564433357427034j),6.7394308833364684,16.572464474735394
800000000.0,(0.003552849447910191+0.00429162317117781j),(0.0006625450426913706+0.0004578682981257833j),6.917905794975789,16.799492873715028
820000000.0,(0.0036508087761824956+0.004510946464681331j),(0.0006769195942051346+0.00045883214859761967j),7.0963663092951546,17.020720507385263
840000000.0,(0.0037443666656256087+0.0047340407035022895j),(0.0006909140877793384+0.0004593672254639029j),7.274845605500988,17.236475613941074
860000000.0,(0.003833406560559299+0.004960771869029494j),(0.0007045321431554433+0.0004595041043202026j),7.453387036902576,17.447073474187192
880000000.0,(0.003917825170416772+0.005191006799646346j),(0.0007177783034268782+0.0004592716619650219j),7.632031154757463,17.65280269071227
900000000.0,(0.003997532344326731+0.005424615997051367j),(0.0007306579060243427+0.0004586971368291195j),7.81081883714812,17.85393129934897
920000000.0,(0.004072450035752829+0.005661473937214662j),(0.0007431769622096224+0.00045780618297713166j),7.989791384622678,18.050708798570188
940000000.0,(0.0041425112228986455+0.005901459049534361j),(0.0007553420478520795+0.00045662293086080007j),8.168990263368034,18.24336756847359
960000000.0,(0.004207659211689397+0.0061444533586695995j),(0.0007671602032042705+0.0004551700462898773j),8.348456824924432,18.432124110014183
980000000.0,(0.004267845474085818+0.0063903434924479936j),(0.0007786388423622698+0.0004534687915616487j),8.528232362893096,18.617180495346688
1000000000.0,(0.0043230298487477925+0.006639019559228761j),(0.0007897856675236202+0.00045153908735643674j),8.708357775464398,18.79872526709193
1020000000.0,(0.004373179273695963+0.006890375543821604j),(0.0008006086100747447+0.0004493995758850003j),8.888873513972353,18.976934527246204
1040000000.0,(0.004418266973648511+0.007144309122847916j),(0.0008111157524726259+0.0004470676860234736j),9.06981950343348,19.15197288686269
1060000000.0,(0.0044582707839487794+0.007400721180995875j),(0.0008213152768388902+0.00044455969334195955j),9.251234173724457,19.323993485232727
1080000000.0,(0.004493174973298904+0.007659516998732163j),(0.0008312154154999294+0.0004418907831161902j),9.433157002800426,19.49314125547101
1100000000.0,(0.004522967310232392+0.007920605042145605j),(0.0008408244085885192+0.00043907511175999425j),9.615626131080807,19.659551380267526
