iter,z01_loss
1,138.1664579197035
2,118.04983680291663
3,69.3904834745117
4,35.44821327158908
5,25.774667292935483
6,23.25362919589052
7,16.687867249381238
8,9.511328230851246
9,10.164754219569417
10,8.281816694462293
11,8.772344658867842
12,6.981985771828128
13,7.308066056604191
14,5.701938614070687
15,4.9662770721833365
16,5.173549182908115
17,5.149700535147187
18,5.149700535147187
19,5.3242852025591665
20,5.3242852025591665
21,5.3242852025591665
22,5.444509062271567
23,5.444509062271567
24,5.508143087954914
25,5.087227884210485
26,5.319424792463332
27,5.490217324096596
28,5.6033869458599606
29,5.360330733842521
30,5.169321319232981
31,5.150680598225059
32,4.975009202509761
33,5.303901758324885
34,5.195267429871339
35,5.316176755949592
36,5.401364122705213
37,5.469890186932967
38,5.718640886936632
39,5.974752582586058
40,5.7773119212773665
41,5.7773119212773665
42,5.431961200753079
43,5.580624085245913
44,5.581134551027218
