iter,z01_loss
1,160.98976673479572
2,161.4378635579779
3,85.42518971508616
4,42.94340747475428
5,6.366882872298856
6,2.742374724949889
7,1.0070381182032513
8,0.2880685796358705
9,0.2537843850527446
10,0.6012414015122365
11,0.27217320550896507
12,0.27217320550896507
13,0.2602849073661389
14,0.26289287076681256
15,0.26071704247565747
16,0.26071704247565747
17,0.236994445070067
18,0.5204422437580667
19,0.23227998777679518
20,0.23227998777679518
21,0.22568530625040442
22,0.3019703886392731
23,0.3019703886392731
24,0.31683509590953857
25,0.31683509590953857
26,0.2740243327755874
27,0.22180722650887444
28,0.22180722650887444
29,0.2212431323812293
30,0.2956837759691696
31,0.5825831501145173
32,0.5825831501145173
33,0.4315590167665364
34,0.3986352881279933
35,0.3986352881279933
36,0.45610060432778093
37,0.3701920336546473
38,0.41367197615474205
39,0.42591574220665496
40,0.42591574220665496
41,0.42591574220665496
42,0.42591574220665496
43,0.42591574220665496
44,0.3916976499859031
