iter,z01_loss
1,121.2154746843896
2,100.2854226942043
3,65.08619233180177
4,10.870526665539805
5,18.549019419554604
6,5.199197596842405
7,5.199197596842405
8,5.199197596842405
9,4.100226091909349
10,2.7503077492870793
11,2.7503077492870793
12,2.7503077492870793
13,1.929838639920449
14,1.0634080020034697
15,1.0634080020034697
16,1.253552954490286
17,1.828787739879462
18,1.899382809604082
19,1.6878755480825218
20,1.6878755480825218
21,1.6878755480825218
22,1.6878755480825218
23,1.6878755480825218
24,2.703509496259893
25,2.80341277325585
26,2.4237681838601164
27,2.4237681838601164
28,1.567719230121856
29,1.2120387011756482
30,0.8151691077717567
31,0.5211291535425616
32,0.5211291535425616
33,0.44535007211641847
34,0.38722083923584866
35,0.4145876690171066
36,0.421955762703285
37,0.421955762703285
38,0.421955762703285
39,0.421955762703285
40,0.38253917400287657
41,0.2774702621710213
42,0.31747524689955753
43,0.3154366825046095
44,0.3154366825046095
