freq,Vout_fund,Vin_fund,cg_linear,cg_dB
500000000.0,(-8.643655090708911e-05-6.981564858016426e-05j),(0.0006316132726743175-0.0007062649189285466j),0.11726752790069889,-18.61644460097844
600000000.0,(-0.00012691353778622078-0.00011409811767839993j),(0.0005206052607875513-0.0006696053458883141j),0.2012104726187863,-13.926988376677535
700000000.0,(-0.00016736504861175765-0.0001685435080804564j),(0.0004352512981020192-0.00062761213296172j),0.31099084843706354,-10.145047816361137
800000000.0,(-0.0002051398531490033-0.00023340022307313013j),(0.00036959874428577034-0.0005852661199488178j),0.44891397151662243,-6.95673755745374
900000000.0,(-0.00023804367802348126-0.00030761813344156797j),(0.00031873921426753423-0.0005450010972307555j),0.61607049675994,-4.20739177612522
1000000000.0,(-0.0002642849265883834-0.00039010704752432605j),(0.0002789282821916139-0.0005078229320996465j),0.8132794832198087,-1.795203672079271
1100000000.0,(-0.0002818603368669564-0.0004796390379584532j),(0.0002474008119753897-0.0004739989465463616j),1.0404854092336844,0.344719889247442
1200000000.0,(-0.000288015568276983-0.0005717354347490281j),(0.00022213633762637283-0.0004434402931456896j),1.2907760459718702,2.217017944696766
1300000000.0,(-0.00029612249162172814-0.0006634194952748502j),(0.00020165747012122385-0.0004159038793637648j),1.5718002339880777,3.9279469817831676
1400000000.0,(-0.00029380691500699484-0.0007723328511268785j),(0.00018487565350382902-0.00039109295776962273j),1.9101982153455839,5.621568699554917
1500000000.0,(-0.0002762092034247137-0.0008848316911021754j),(0.00017098319802951213-0.00036870821420634416j),2.280719098747697,7.1614359871978595
1600000000.0,(-0.000245995063107341-0.0010004401570128313j),(0.00015937242084877238-0.000348470775203788j),2.6886160502234135,8.590575738218613
1700000000.0,(-0.00020249356713119117-0.0011193697749562728j),(0.00014958051418625424-0.00033013055120721533j),3.1385816960825097,9.934668753066154
1800000000.0,(-0.00014433485210756206-0.0012414339991725103j),(0.0001412499488930032-0.00031346858572358683j),3.6350016197034614,11.210092174207151
1900000000.0,(-6.986264176764267e-05-0.0013661852361645601j),(0.00013409944354095051-0.0002982963275357542j),4.182723607786013,12.429183351477612
2000000000.0,(2.309209483171687e-05-0.0014931044643579285j),(0.00012790208752151895-0.0002844538119064951j),4.787912026730509,13.602923241301937
2100000000.0,(0.00013697321343936487-0.00162145597382052j),(0.00012246695290712796-0.0002718080153234836j),5.458241067984251,14.741054255051786
2200000000.0,(0.0002748250241992435-0.0017505043444861288j),(0.0001176201271002245-0.0002602521126134043j),6.204359115793907,15.853938547157382
2300000000.0,(0.0004406883111533624-0.0018798555974352878j),(0.00011317663019349674-0.00024970584480416566j),7.042755186022373,16.954851841941533
2400000000.0,(0.000641042417718086-0.00201053958356271j),(0.0001088776335658784-0.00024011301351785865j),8.004184092990835,18.06634137352299
2500000000.0,(0.0008907171021079818-0.0021476066837128336j),(0.00010419100349284862-0.0002313971163972223j),9.161727229091605,19.239547148792976
2600000000.0,(0.001241754677719753-0.002304850215967059j),(9.74253296508475e-05-0.0002230748020928199j),10.755290562801298,20.63244295391486
2700000000.0,(0.0017455100908931214-0.0024115529317625902j),(8.881471596870325e-05-0.00021332211611479378j),12.88331818755633,22.200554659467894
2800000000.0,(0.002182362197568171-0.002348215112802075j),(8.660611232556601e-05-0.0002043873667040953j),14.441651312620555,23.192337098683886
2900000000.0,(0.002635068004613521-0.002187472042114128j),(8.503795124058147e-05-0.00019611189478360006j),16.021623279018147,24.09413031661896
3000000000.0,(0.003085289771403332-0.0019132685357022346j),(8.381601429696517e-05-0.00018835253178401437j),17.609523587881462,24.91495213245971
3100000000.0,(0.003495754140524694-0.00151529007931208j),(8.29303046083964e-05-0.00018111823113459678j),19.12655755670221,25.632736234147252
3200000000.0,(0.003822292113544745-0.0009974037820674193j),(8.226602323818267e-05-0.00017436870647256886j),20.488932886949325,26.230386797718545
3300000000.0,(0.004021210320445811-0.0003843291771441219j),(8.169929096338822e-05-0.00016799622304873279j),21.623906935369934,26.698683271698812
3400000000.0,(0.004060850358570791+0.0002782542287423154j),(8.117427481632599e-05-0.00016186814224412887j),22.478106950878203,27.03519466515942
3500000000.0,(0.003933134555073373+0.0009335474841359279j),(8.07381372929396e-05-0.00015591547136812445j),23.023186711417956,27.243308710288943
3600000000.0,(0.0036516527386949793+0.0015259928537438715j),(8.048226246881612e-05-0.00015016616286416177j),23.22937079596266,27.320748928211156
3700000000.0,(0.0032502610160713885+0.002008853825886017j),(8.046621160004597e-05-0.00014470114828640834j),23.077655701792803,27.26383379549258
3800000000.0,(0.0027784392395889626+0.0023560715595423924j),(8.069122846334189e-05-0.0001395998138631501j),22.59272784621618,27.07937341613779
3900000000.0,(0.0022868820841647577+0.0025667806538516333j),(8.111154286822496e-05-0.00013491445437616083j),21.83816708110932,26.784323688011984
4000000000.0,(0.0018155748088864825+0.002658760991505076j),(8.16539301888309e-05-0.00013066459375892672j),20.89515263999176,26.400910960623296
4100000000.0,(0.0013896625213116129+0.0026584829630861098j),(8.223559862786953e-05-0.00012683671728330774j),19.844688534901763,25.95288573970871
4200000000.0,(0.0010208268210353463+0.0025934428629035616j),(8.27800691860481e-05-0.00012338677944090108j),18.758025042598817,25.463742226434118
4300000000.0,(0.0007107869262267416+0.0024877521323157926j),(8.323044417966167e-05-0.00012024652640712439j),17.691995774516766,24.955536539449547
4400000000.0,(0.00045484132714067196+0.0023602469249564303j),(8.355940972230416e-05-0.00011733387588525102j),16.686780746279627,24.447451192565484
4500000000.0,(0.0002448719569319111+0.002223925678161972j),(8.377481809038922e-05-0.00011456832220200854j),15.763872895770994,23.953258489758362
4600000000.0,(7.201096272780816e-05+0.0020862585731609216j),(8.391546120418626e-05-0.00011189024045366941j),14.925490276694987,23.478572117255737
4700000000.0,(-7.115260100191052e-05+0.001950572213178069j),(8.403253224579655e-05-0.00010927627366164142j),14.15931757953552,23.02084645325596
4800000000.0,(-0.0001897751348975026+0.001818141881556283j),(8.416535059931333e-05-0.00010673442840880927j),13.448575136366957,22.573525473841663
4900000000.0,(-0.0002873061913428495+0.001689832415047847j),(8.432961306815989e-05-0.00010428521519211298j),12.780671039374784,22.131073134423925
5000000000.0,(-0.0003664366978990038+0.0015665965988992483j),(8.452227431965278e-05-0.00010194482476376607j),12.149249258537969,21.69098884601549
5100000000.0,(-0.00042962979183049186+0.001449327462787688j),(8.473247548763092e-05-9.971932991268507e-05j),11.552045524288461,21.253177833923182
5200000000.0,(-0.0004792173582737053+0.0013386557699463751j),(8.49492217459333e-05-9.760671039126849e-05j),10.988299330234721,20.81860962891037
5300000000.0,(-0.0005173356107615298+0.001234894779477483j),(8.516428134263083e-05-9.560071170230717e-05j),10.45730805601891,20.388398036936014
