freq,Vout_fund,Vin_fund,cg_linear,cg_dB
500000000.0,(7.999547486873549e-05+0.0028840932489973235j),(0.0005012727851639277-0.0008550658748028458j),2.9109145029534,9.28058899753718
600000000.0,(-0.0005353129876004573+0.003306567920296126j),(0.00035207868071134474-0.0007448552260801011j),4.065693005089188,12.182691651169513
700000000.0,(-0.0007972935117991952+0.003120851340621258j),(0.00024919036303022447-0.0006367155898249802j),4.710968607340654,13.462204204466852
800000000.0,(0.00012595399793058286+0.00194484129519248j),(0.00017784475536567192-0.0005361180231035359j),3.450347059321885,10.75725563113281
900000000.0,(0.010059351489595365+0.0003550889490676155j),(0.0001282666605622284-0.00044428268781597713j),21.766895053593192,26.755929667397574
1000000000.0,(-0.0070218964894185045+0.02151540662723228j),(9.405502577148646e-05-0.0003608378334160248j),60.69350407186761,35.662844234451214
1100000000.0,(-0.009868368636261815+0.011925086168134674j),(7.097584427429047e-05-0.00028490609370526184j),52.7181381736848,34.43920128089473
1200000000.0,(-0.010332042624263071+0.009271513796232884j),(5.617671765346736e-05-0.00021553099857517417j),62.32643998064553,35.89344642331535
1300000000.0,(-0.01089950841282847+0.007806188805579984j),(4.769496016135761e-05-0.0001518321435515198j),84.2400399742721,38.51037128524891
1400000000.0,(-0.011503241350080198+0.006677241658659468j),(4.415045659131161e-05-9.30502993097374e-05j),129.14194950535966,42.22134676312935
1500000000.0,(-0.012083821395251496+0.005660846866453475j),(4.4551849359433474e-05-3.854954391635033e-05j),226.4982009322248,47.101295135514725
1600000000.0,(-0.012609612003148045+0.004680844673855077j),(4.817222810190243e-05+1.2195734860585316e-05j),270.67462803359024,48.64895097271158
1700000000.0,(-0.01306374438460658+0.003709301268928095j),(5.4467855372885964e-05+5.961761266777718e-05j),168.16943602382793,44.51494135452387
1800000000.0,(-0.01343726515892726+0.002737269036342356j),(6.302418362755322e-05+0.00010407079701895486j),112.71149453852756,41.039364170096604
1900000000.0,(-0.013725807414222479+0.0017641557601443686j),(7.351898121762104e-05+0.00014584676352177433j),84.72914348253302,38.560656323891294
2000000000.0,(-0.013927876066378625+0.000793254323301914j),(8.569712737484474e-05+0.00018518553651138456j),68.36674024102639,36.69689746048883
2100000000.0,(-0.014043903249155325-0.00017033707185283478j),(9.93528008076831e-05+0.00022228533636222596j),57.68451746598972,35.221185281705836
2200000000.0,(-0.014075693728360731-0.0011207628221097234j),(0.00011431681459686904+0.0002573103978954465j),50.149734321720096,34.00537273200748
2300000000.0,(-0.014026078962968624-0.002051970467633076j),(0.0001304474650742122+0.0002903972912130691j),44.52757757326164,32.97258137840172
2400000000.0,(-0.013898686741404315-0.0029580301664156802j),(0.00014762383566599107+0.0003216600382337021j),40.150473071862216,32.073813334156476
2500000000.0,(-0.01369777620181577-0.003833323889666025j),(0.00016574084360765034+0.0003511942683833449j),36.6278746843446,31.27623439314368
2600000000.0,(-0.013428110230978466-0.004672661553763004j),(0.00018470553459632634+0.0003790806156941367j),33.71680894750995,30.556929301221068
2700000000.0,(-0.013094849576134321-0.005471351955780988j),(0.00020443430796767708+0.0004053874988726233j),31.258505646446096,29.899364243327394
2800000000.0,(-0.012703460331208892-0.00622524273898025j),(0.00022485080582350996+0.000430173425753705j),29.14497117528015,29.291272602666343
2900000000.0,(-0.012259634724427312-0.006930735148829717j),(0.0002458843226649199+0.00045348889863434315j),27.300251651174904,28.723333006905165
3000000000.0,(-0.011769217241385792-0.007584782129716874j),(0.0002674685945687975+0.0004753780076937579j),25.669376750730965,28.188306483670917
3100000000.0,(-0.011238148696831183-0.008184865851439673j),(0.00028954089048813616+0.0004958797592664032j),24.211561253920227,27.68045590622458
3200000000.0,(-0.010672423684201324-0.00872896143563167j),(0.00031204132946106454+0.0005150291919033573j),22.895862656964063,27.19514022532526
3300000000.0,(-0.01007807025295448-0.009215485623269553j),(0.0003349123765369564+0.0005328583131782558j),21.698320560731986,26.728522419429073
3400000000.0,(-0.009461160372779468-0.009643231048031149j),(0.0003580984780257367+0.0005493968865811468j),20.60001898111069,26.27735241067223
3500000000.0,(-0.00882786712825457-0.010011286313797163j),(0.000381545806254731+0.0005646730916146288j),19.585743717970388,25.838801348137892
